City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
182,Pimentel,-6.84,-79.93,60.8,82,40,12.75,PE,2020-08-22 14:22:02,mist
183,Rio Grande,-32.03,-52.1,59.0,47,0,5.82,BR,2020-08-22 14:22:02,clear sky
184,Praia,14.92,-23.51,84.2,70,40,9.17,CV,2020-08-22 14:22:02,scattered clouds
185,Kaitangata,-46.28,169.85,51.01,86,95,8.01,NZ,2020-08-22 14:22:02,overcast clouds
186,Whitehorse,60.72,-135.05,53.6,93,90,2.86,CA,2020-08-22 14:22:02,overcast clouds
187,Faanui,-16.48,-151.75,77.25,80,18,26.13,PF,2020-08-22 14:22:02,light rain
188,Aksu,41.12,80.26,83.82,25,81,3.27,CN,2020-08-22 14:22:02,broken clouds
189,Susanville,40.42,-120.65,53.01,61,90,1.5,US,2020-08-22 14:17:16,haze
190,Senneterre,48.38,-77.23,60.8,93,75,6.93,CA,2020-08-22 14:22:03,shower rain
191,Najran,17.49,44.13,100.4,18,31,6.93,SA,2020-08-22 14:22:03,scattered clouds
192,Stromness,58.97,-3.3,59.0,77,75,17.22,GB,2020-08-22 14:22:03,broken clouds
193,Erenhot,43.65,111.98,70.02,62,100,14.36,CN,2020-08-22 14:22:03,overcast clouds
194,Sorland,67.67,12.69,56.93,93,100,17.09,NO,2020-08-22 14:22:03,overcast clouds
195,Ostrovnoy,68.05,39.51,70.23,57,0,13.56,RU,2020-08-22 14:22:03,clear sky
196,Tiznit,29.58,-9.5,102.49,14,37,10.92,MA,2020-08-22 14:22:03,light rain
197,Ahipara,-35.17,173.17,55.11,92,6,5.12,NZ,2020-08-22 14:22:03,clear sky
198,Novopskov,49.55,39.09,72.63,36,25,3.24,UA,2020-08-22 14:22:03,scattered clouds
199,Pochutla,15.74,-96.47,77.0,83,75,2.84,MX,2020-08-22 14:22:04,broken clouds
200,Mayumba,-3.43,10.66,75.4,79,96,7.38,GA,2020-08-22 14:22:04,overcast clouds
201,Coruripe,-10.13,-36.18,79.2,67,69,10.11,BR,2020-08-22 14:22:04,broken clouds
202,Rochester,43.15,-77.62,78.01,73,40,4.7,US,2020-08-22 14:20:12,scattered clouds
203,Arawa,-6.21,155.54,77.56,80,100,2.68,PG,2020-08-22 14:22:04,overcast clouds
204,Krasnogorsk,55.82,37.32,75.2,43,20,11.18,RU,2020-08-22 14:22:04,few clouds
205,Kanigiri,15.4,79.52,89.22,57,18,5.46,IN,2020-08-22 14:22:04,few clouds
206,Walvis Bay,-22.96,14.51,96.8,5,1,11.41,NA,2020-08-22 14:21:23,clear sky
207,Bambous Virieux,-20.34,57.76,73.4,73,75,12.75,MU,2020-08-22 14:22:04,shower rain
208,Cherskiy,68.75,161.3,38.14,92,100,18.3,RU,2020-08-22 14:22:04,overcast clouds
209,Fortuna,40.6,-124.16,60.01,100,90,8.05,US,2020-08-22 14:22:05,overcast clouds
