City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
263,The Valley,AI,78.8,shower rain,18.22,-63.06,CeBlue Villas & Beach Resort
265,Estelle,US,86.0,clear sky,29.85,-90.11,Comfort Inn Marrero - New Orleans West
266,Ketchikan,US,57.2,light rain,55.34,-131.65,Snows Cove Lodge
267,Inhambane,MZ,77.0,few clouds,-23.86,35.38,Oceano
269,Yanam,IN,80.6,broken clouds,16.73,82.22,The Regency Hotel
270,Solnechnyy,RU,59.59,broken clouds,50.72,136.63,Hotel complex Pastoral
272,Amberieu-En-Bugey,FR,84.2,clear sky,45.96,5.34,Ambotel
273,Alice Springs,AU,51.8,clear sky,-23.7,133.88,Desert Palms Alice Springs
274,Roma,US,72.0,few clouds,43.21,-75.46,Wingate By Wyndham Rome
275,Merritt,CA,60.8,clear sky,50.11,-120.79,Ramada Limited Merritt
276,Kargil,IN,68.41,clear sky,34.57,76.1,Caravan Sarai
278,San Quintin,MX,77.13,clear sky,30.48,-115.95,Old Mill Hotel
279,Esik,KZ,82.4,smoke,43.36,77.45,"Gostevoy Dom ""Asyl Tau"""
280,Alofi,NU,75.2,few clouds,-19.06,-169.92,Taloa Heights
281,Pisco,PE,60.8,mist,-13.7,-76.22,Hostal San Isidro Oficial
282,La Ronge,CA,59.0,overcast clouds,55.1,-105.28,Northland Motor Hotel
283,Kapit,MY,77.36,light rain,2.02,112.93,Hotel Meligai Kapit
284,Mbanza-Ngungu,CD,89.29,overcast clouds,-5.25,14.87,Hotel Full Business
286,Southbridge,US,81.0,overcast clouds,42.08,-72.03,Southbridge Hotel & Conference Center
287,Novobirilyussy,RU,55.36,light rain,56.95,90.67,Gostinitsa
288,Xining,CN,56.89,heavy intensity rain,36.62,101.77,Super Leisure Hotel
289,Berlevag,NO,63.55,scattered clouds,70.86,29.09,Kvitbrakka
290,Flinders,AU,51.01,broken clouds,-34.58,150.86,Shellharbour Resort & Conference Centre
291,Nyagan,RU,58.19,overcast clouds,62.14,65.39,Rainbow Hotel
292,Grand-Santi,GF,89.67,clear sky,4.25,-54.38,Hotel La Villa Couacou
293,Tautira,PF,71.6,few clouds,-17.73,-149.15,Pension Oaoa
294,Coquimbo,CL,50.0,overcast clouds,-29.95,-71.34,Hotel San Juan
295,Alta Floresta,BR,69.8,haze,-9.88,-56.09,Floresta Amazonica Hotel
297,Muzaffarabad,PK,76.91,clear sky,34.37,73.47,Pearl Continental Muzaffarabad
298,Platteville,US,68.0,clear sky,42.73,-90.48,"Country Inn & Suites by Radisson, Platteville, WI"
299,Quatre Cocos,MU,73.4,shower rain,-20.21,57.76,Veranda Palmar Beach Hotel
300,Yar-Sale,RU,58.28,clear sky,66.83,70.83,Yalemd
301,Kutum,SD,87.55,overcast clouds,14.2,24.67,Dibbo areaمنطقة دبو
303,Lichinga,MZ,66.2,broken clouds,-13.31,35.24,Residencial Bendiak
306,Vila Franca Do Campo,PT,77.0,few clouds,37.72,-25.43,Pestana Bahia Praia
307,Harlingen,US,84.99,clear sky,26.19,-97.7,Courtyard by Marriott Harlingen
308,Kalat,PK,69.66,moderate rain,29.02,66.59,Balochistan Hotel
309,Lebu,CL,51.49,clear sky,-37.62,-73.65,Hostal Las Lilas
310,Miranda,CO,69.8,broken clouds,3.25,-76.23,Parqueadero toño lasso
311,Sibolga,ID,76.59,light rain,1.74,98.78,Hotel Syariah CN Darussalam
312,Graham,US,55.99,light intensity drizzle,47.05,-122.29,Moxie Meadows Hostel
313,Basco,PH,84.61,moderate rain,20.45,121.97,Nathaniel's Lodge
315,Christchurch,NZ,50.0,light rain,-43.53,172.63,"Chateau on the Park - Christchurch, a DoubleTree by Hilton"
316,Sistranda,NO,64.4,shower rain,63.73,8.83,Hotell Frøya
317,Dingle,PH,77.36,scattered clouds,11.0,122.67,Camp Pasica
319,Smithers,CA,50.0,broken clouds,54.78,-127.17,Prestige Hudson Bay Lodge
321,Samana,DO,78.8,shower rain,19.21,-69.34,The Bannister - Hotel & Yacht Club
322,Cervo,ES,75.99,scattered clouds,43.67,-7.41,Hotel Spa Galatea
323,Mahon,ES,84.2,broken clouds,39.89,4.27,ARTIEM Capri
324,Los Llanos De Aridane,ES,84.99,clear sky,28.66,-17.92,Valle Aridane
325,San Andres,CO,80.6,overcast clouds,12.58,-81.7,Hotel Arena Blanca
326,Cheyenne,US,73.99,haze,41.14,-104.82,The Historic Plains Hotel & Restaurant
328,Lepaera,HN,68.34,scattered clouds,14.78,-88.58,Agroservicios Lepaera
329,Ugoofaaru,MV,84.15,clear sky,5.67,73.0,Ungoofaaru Inn
332,Tonantins,BR,70.21,broken clouds,-2.87,-67.8,Hotel Rei Davi
334,Vanimo,PG,79.7,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
335,Juneau,US,54.0,fog,58.3,-134.42,"Baranof Downtown, BW Signature Collection"
337,Goderich,CA,80.01,clear sky,43.75,-81.72,Harmony Inn
340,Leua,SK,90.0,clear sky,48.22,18.61,Business Hotel ASTRUM Laus
341,Khatanga,RU,53.94,clear sky,71.97,102.5,"Gostinitsa ""Zapolyar'ye"""
342,San Rafael,AR,56.03,clear sky,-34.62,-68.33,Hotel San Rafael
343,Nelson Bay,AU,51.01,clear sky,-32.72,152.15,Mantra Nelson Bay
345,Chitral,PK,80.8,clear sky,35.85,71.79,PTDC Motel Chitral
346,Hecun,CN,70.0,few clouds,36.53,114.11,Yijia Hotel
347,Hami,CN,85.48,overcast clouds,42.8,93.45,Laoyutang Resort
348,Port Keats,AU,73.72,clear sky,-14.25,129.55,TDC Village (Hundred Man Camp)
349,Half Moon Bay,US,61.0,mist,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
350,Vikhorevka,RU,64.4,broken clouds,56.12,101.16,Pansionat Sosnovyye Rodniki
355,Harper,LR,79.02,light rain,4.38,-7.72,Screensaver
356,Buala,SB,81.27,overcast clouds,-8.14,159.59,Maringe Lagoon Lodge
358,Jipijapa,EC,69.8,overcast clouds,-1.33,-80.58,Los Ceibos Internacional
359,Ibiapina,BR,84.6,few clouds,-3.92,-40.89,Hotel Pinheiro
